"TournamentCode","MatchCode","P1Name","P2Name","P1ServeRating","P2ServeRating","P1Aces","P2Aces","P1DoubleFaults","P2DoubleFaults","P1FirstServe","P2FirstServe","P1FirstServePtsWon","P2FirstServePtsWon","P1SecServePtsWon","P2SecServePtsWon","P1BreakPointsConverted","P2BreakPointsConverted","P1ServicePtsWon","P2ServicePtsWon","P1ReturnPtsWon","P2ReturnPtsWon","Surface","Outcome"
"339","339/MS001","
                        Grigor
                     
                        Dimitrov
                    ","
                        Kei
                     
                        Nishikori
                    ","284","268","
7            ","
4            ","
2            ","
0            ","
                    68%
                ","
                    71%
                ","
                    79%
                ","
                    73%
                ","
                    48%
                ","
                    45%
                ","
                    60%
                ","
                    29%
                ","
                    69%
                ","
                    65%
                ","
                    35%
                ","
                    31%
                ","
Outdoor                         
                
                    Hard
                
            ",1
"451","451/MS001","
                        Novak
                     
                        Djokovic
                    ","
                        Andy
                     
                        Murray
                    ","287","269","
2            ","
8            ","
3            ","
4            ","
                    72%
                ","
                    60%
                ","
                    68%
                ","
                    78%
                ","
                    61%
                ","
                    47%
                ","
                    75%
                ","
                    29%
                ","
                    66%
                ","
                    65%
                ","
                    35%
                ","
                    34%
                ","
Outdoor                         
                
                    Hard
                
            ",1
"891","891/MS001","
                        Roberto
                     
                        Bautista Agut
                    ","
                        Daniil
                     
                        Medvedev
                    ","347","262","
4            ","
8            ","
1            ","
4            ","
                    78%
                ","
                    67%
                ","
                    84%
                ","
                    71%
                ","
                    82%
                ","
                    43%
                ","
                    50%
                ","
                    0%
                ","
                    84%
                ","
                    62%
                ","
                    38%
                ","
                    16%
                ","
Outdoor                         
                
                    Hard
                
            ",1
"338","338/MS001","
                        Gilles
                     
                        Muller
                    ","
                        Daniel
                     
                        Evans
                    ","313","266","
12            ","
7            ","
4            ","
5            ","
                    63%
                ","
                    65%
                ","
                    87%
                ","
                    67%
                ","
                    55%
                ","
                    52%
                ","
                    29%
                ","
                    0%
                ","
                    75%
                ","
                    62%
                ","
                    38%
                ","
                    25%
                ","
Outdoor                         
                
                    Hard
                
            ",1
"301","301/MS001","
                        Jack
                     
                        Sock
                    ","
                        Joao
                     
                        Sousa
                    ","285","243","
13            ","
10            ","
3            ","
3            ","
                    69%
                ","
                    63%
                ","
                    80%
                ","
                    67%
                ","
                    46%
                ","
                    40%
                ","
                    56%
                ","
                    75%
                ","
                    69%
                ","
                    57%
                ","
                    43%
                ","
                    31%
                ","
Outdoor                         
                
                    Hard
                
            ",1
"580","580/MS001","
                        Roger
                     
                        Federer
                    ","
                        Rafael
                     
                        Nadal
                    ","285","265","
20            ","
4            ","
3            ","
3            ","
                    62%
                ","
                    73%
                ","
                    76%
                ","
                    63%
                ","
                    49%
                ","
                    56%
                ","
                    30%
                ","
                    24%
                ","
                    66%
                ","
                    61%
                ","
                    39%
                ","
                    34%
                ","
Outdoor                         
                
                    Hard
                
            ",1
"8096","8096/MS001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Indoor                         
                
                    Hard
                
            ",1
"7434","7434/MS001","
                        Grigor
                     
                        Dimitrov
                    ","
                        David
                     
                        Goffin
                    ","242","204","
10            ","
2            ","
9            ","
4            ","
                    68%
                ","
                    48%
                ","
                    71%
                ","
                    65%
                ","
                    30%
                ","
                    39%
                ","
                    71%
                ","
                    33%
                ","
                    58%
                ","
                    52%
                ","
                    48%
                ","
                    42%
                ","
Outdoor                         
                
                    Clay
                
            ",1
"7161","7161/MS001","
                        Victor
                     
                        Estrella Burgos
                    ","
                        Paolo
                     
                        Lorenzi
                    ","297","287","
4            ","
17            ","
2            ","
4            ","
                    65%
                ","
                    56%
                ","
                    79%
                ","
                    88%
                ","
                    63%
                ","
                    47%
                ","
                    100%
                ","
                    29%
                ","
                    73%
                ","
                    70%
                ","
                    30%
                ","
                    27%
                ","
Indoor                         
                
                    Hard
                
            ",1
"375","375/MS001","
                        Alexander
                     
                        Zverev
                    ","
                        Richard
                     
                        Gasquet
                    ","280","265","
8            ","
3            ","
4            ","
1            ","
                    64%
                ","
                    61%
                ","
                    80%
                ","
                    76%
                ","
                    42%
                ","
                    46%
                ","
                    67%
                ","
                    100%
                ","
                    67%
                ","
                    64%
                ","
                    36%
                ","
                    33%
                ","
Indoor                         
                
                    Hard
                
            ",1
